"Key","SourceKind","CallCount","TemplateCount","ExampleUses","Status"
"02CH","item","1","1","305232 Box of Things and Garbage (OnUse, requested QL 160)","No capture and no unique client-data inference"
"0BHC","item","121","1","305229 Box of Things and Garbage (OnUse, requested QL 180) | 305229 Box of Things and Garbage (OnUse, requested QL 181) | 305229 Box of Things and Garbage (OnUse, requested QL 182)","No capture and no unique client-data inference"
"0H1F","item","1","1","289644 TESTLIVE ITEM: Tier Armor Dispenser (OnUse, requested QL 160)","No capture and no unique client-data inference"
"0HUG","item","1","1","304956 Spoils of War (OnEnter, requested QL 1)","No capture and no unique client-data inference"
"0L4L","item","2","1","286561 Silver Chest of the Collector (OnUse, requested QL 300) | 286561 Silver Chest of the Collector (OnUse, requested QL 300)","No capture and no unique client-data inference"
"0NOM","item","1","1","289645 TESTLIVE ITEM: Tier Armor Dispenser (OnUse, requested QL 220)","No capture and no unique client-data inference"
"0RI1","item","4","4","295830 NPE Playfield Item (OnUse, requested QL 1) | 304365 Clans (OnEnter, requested QL 1) | 304366 Neutral (OnEnter, requested QL 1)","No capture and no unique client-data inference"
"12KL","item","1","1","305226 Box of Things and Garbage (OnUse, requested QL 255)","No capture and no unique client-data inference"
"14JJ","item","5","2","303742 Sealed Symbiant and Spirit Package (OnUse, requested QL 215) | 304005 Sealed Symbiant and Spirit Package (OnUse, requested QL 215) | 304005 Sealed Symbiant and Spirit Package (OnUse, requested QL 215)","No capture and no unique client-data inference"
"1BX9","item","1","1","286458 City Resettlement Beacon (OnUse, requested QL 300)","No capture and no unique client-data inference"
"1DUC","item","1","1","305232 Box of Things and Garbage (OnUse, requested QL 100)","No capture and no unique client-data inference"
"1IZO","item","1","1","304060 Gift of the Hollow Reaper (OnUse, requested QL 1)","No capture and no unique client-data inference"
"1M9F","item","1","1","305232 Box of Things and Garbage (OnUse, requested QL 100)","No capture and no unique client-data inference"
"25EN","item","1","1","296571 2560-Bit Encryption Compiler (OnTerminate, requested QL 1)","No capture and no unique client-data inference"
"25NC","item","8","2","303434 Temple Explorer Pack (OnUse, requested QL 60) | 303434 Temple Explorer Pack (OnUse, requested QL 60) | 303434 Temple Explorer Pack (OnUse, requested QL 60)","No capture and no unique client-data inference"
"26FA","item","1","1","289645 TESTLIVE ITEM: Tier Armor Dispenser (OnUse, requested QL 220)","No capture and no unique client-data inference"
"29S5","item","1","1","290621 Standard Lottery Ticket (OnUse, requested QL 300)","No capture and no unique client-data inference"
"35NC","item","46","8","303435 Biomare Explorer Pack (OnUse, requested QL 100) | 303435 Biomare Explorer Pack (OnUse, requested QL 100) | 303435 Biomare Explorer Pack (OnUse, requested QL 100)","No capture and no unique client-data inference"
"3AGG","item","1","1","286458 City Resettlement Beacon (OnUse, requested QL 300)","No capture and no unique client-data inference"
"3F9O","item","4","4","218012 Chosen Keeper Cuirass (OnUse, requested QL 221) | 218013 Chosen Keeper Cuirass (OnUse, requested QL 301) | 267789 Knight Armor (OnUse, requested QL 221)","No capture and no unique client-data inference"
"3NNM","item","4","2","304490 Backyard Explorer Pack (OnUse, requested QL 1) | 304490 Backyard Explorer Pack (OnUse, requested QL 1) | 304573 Backyard Explorer Pack (OnUse, requested QL 1)","No capture and no unique client-data inference"
"3QD4","item","220","1","305233 Box of Things and Garbage (OnUse, requested QL 148) | 305233 Box of Things and Garbage (OnUse, requested QL 147) | 305233 Box of Things and Garbage (OnUse, requested QL 146)","No capture and no unique client-data inference"
"41D5","item","1","1","289643 TESTLIVE ITEM: Tier Armor Dispenser (OnUse, requested QL 100)","No capture and no unique client-data inference"
"43H8","item","1","1","289644 TESTLIVE ITEM: Tier Armor Dispenser (OnUse, requested QL 160)","No capture and no unique client-data inference"
"4C0K","item","1","1","304060 Gift of the Hollow Reaper (OnUse, requested QL 250)","No capture and no unique client-data inference"
"5BJG","item","1","1","289645 TESTLIVE ITEM: Tier Armor Dispenser (OnUse, requested QL 220)","No capture and no unique client-data inference"
"5D6N","item","2","2","236635 Soul Capsule (OnUse, requested QL 1) | 238946 Soul Capsule (OnUse, requested QL 300)","No capture and no unique client-data inference"
"5JHO","item","1","1","289645 TESTLIVE ITEM: Tier Armor Dispenser (OnUse, requested QL 220)","No capture and no unique client-data inference"
"5YCI","item","1","1","304366 Neutral (OnEnter, requested QL 1)","No capture and no unique client-data inference"
"6755","item","1","1","304957 Spoils of War (OnEnter, requested QL 1)","No capture and no unique client-data inference"
"6G03","item","1","1","264061 A Jar (OnUseItemOn, requested QL 1)","No capture and no unique client-data inference"
"6G3G","item","1","1","289645 TESTLIVE ITEM: Tier Armor Dispenser (OnUse, requested QL 220)","No capture and no unique client-data inference"
"7226","item","1","1","289644 TESTLIVE ITEM: Tier Armor Dispenser (OnUse, requested QL 160)","No capture and no unique client-data inference"
"79PQ","item","1","1","304367 Omni-Tek (OnEnter, requested QL 1)","No capture and no unique client-data inference"
"7BOX","item","220","1","305237 Box of Things and Garbage (OnUse, requested QL 148) | 305237 Box of Things and Garbage (OnUse, requested QL 147) | 305237 Box of Things and Garbage (OnUse, requested QL 146)","No capture and no unique client-data inference"
"7LEH","item","4","1","286438 Bronze Chest of the Collector (OnUse, requested QL 300) | 286438 Bronze Chest of the Collector (OnUse, requested QL 300) | 286438 Bronze Chest of the Collector (OnUse, requested QL 300)","No capture and no unique client-data inference"
"7PKS","item","1","1","303096 Gift of Palmiero (OnUse, requested QL 300)","No capture and no unique client-data inference"
"7RZF","item","1","1","286458 City Resettlement Beacon (OnUse, requested QL 300)","No capture and no unique client-data inference"
"7UBZ","item","2","2","300437 Broken Shadow Crystal (OnUse, requested QL 1) | 300438 Broken Shadow Crystal (OnUse, requested QL 500)","No capture and no unique client-data inference"
"8317","item","1","1","289645 TESTLIVE ITEM: Tier Armor Dispenser (OnUse, requested QL 220)","No capture and no unique client-data inference"
"877J","item","4","4","295830 NPE Playfield Item (OnUse, requested QL 1) | 304365 Clans (OnEnter, requested QL 1) | 304366 Neutral (OnEnter, requested QL 1)","No capture and no unique client-data inference"
"88S2","item","1","1","289644 TESTLIVE ITEM: Tier Armor Dispenser (OnUse, requested QL 160)","No capture and no unique client-data inference"
"8D9A","item","2","2","290621 Standard Lottery Ticket (OnUse, requested QL 300) | 300766 Premium Lottery Ticket (OnUse, requested QL 300)","No capture and no unique client-data inference"
"8NNC","item","6","2","303777 Subway Explorer Pack (OnUse, requested QL 25) | 303777 Subway Explorer Pack (OnUse, requested QL 25) | 303777 Subway Explorer Pack (OnUse, requested QL 25)","No capture and no unique client-data inference"
"8PCC","item","1","1","289643 TESTLIVE ITEM: Tier Armor Dispenser (OnUse, requested QL 100)","No capture and no unique client-data inference"
"8PVK","item","1","1","305232 Box of Things and Garbage (OnUse, requested QL 100)","No capture and no unique client-data inference"
"8RZ4","item","1","1","304376 ZZZ (OnUse, requested QL 1)","No capture and no unique client-data inference"
"8UDW","item","1","1","305232 Box of Things and Garbage (OnUse, requested QL 160)","No capture and no unique client-data inference"
"8WVV","item","1","1","305232 Box of Things and Garbage (OnUse, requested QL 100)","No capture and no unique client-data inference"
"8XZ6","item","121","1","305230 Box of Things and Garbage (OnUse, requested QL 180) | 305230 Box of Things and Garbage (OnUse, requested QL 181) | 305230 Box of Things and Garbage (OnUse, requested QL 182)","No capture and no unique client-data inference"
"9960","item","1","1","304369 ZZZ (OnUse, requested QL 1)","No capture and no unique client-data inference"
"9BGT","item","220","1","305221 Box of Things and Garbage (OnUse, requested QL 148) | 305221 Box of Things and Garbage (OnUse, requested QL 147) | 305221 Box of Things and Garbage (OnUse, requested QL 146)","No capture and no unique client-data inference"
"9HA4","item","1","1","303463 Nophex Equipment Voucher (OnUse, requested QL 300)","No capture and no unique client-data inference"
"9JB3","item","1","1","305232 Box of Things and Garbage (OnUse, requested QL 100)","No capture and no unique client-data inference"
"9KCP","item","1","1","289645 TESTLIVE ITEM: Tier Armor Dispenser (OnUse, requested QL 220)","No capture and no unique client-data inference"
"9KJB","item","2","2","300437 Broken Shadow Crystal (OnUse, requested QL 1) | 300438 Broken Shadow Crystal (OnUse, requested QL 500)","No capture and no unique client-data inference"
"9RLO","item","4","4","295830 NPE Playfield Item (OnUse, requested QL 1) | 304365 Clans (OnEnter, requested QL 1) | 304366 Neutral (OnEnter, requested QL 1)","No capture and no unique client-data inference"
"9S0L","item","1","1","289645 TESTLIVE ITEM: Tier Armor Dispenser (OnUse, requested QL 220)","No capture and no unique client-data inference"
"9TRR","item","1","1","289645 TESTLIVE ITEM: Tier Armor Dispenser (OnUse, requested QL 220)","No capture and no unique client-data inference"
"A2EI","item","2","2","300437 Broken Shadow Crystal (OnUse, requested QL 1) | 300438 Broken Shadow Crystal (OnUse, requested QL 500)","No capture and no unique client-data inference"
"A6YP","item","4","4","295830 NPE Playfield Item (OnUse, requested QL 1) | 304365 Clans (OnEnter, requested QL 1) | 304366 Neutral (OnEnter, requested QL 1)","No capture and no unique client-data inference"
"AAAA","item","8","8","156766 A Christmas Gift (OnUse, requested QL 1) | 205842 Christmas Gift (OnUse, requested QL 1) | 274209 Christmas Gift (OnUse, requested QL 1)","No capture and no unique client-data inference"
"AABC","item","143","133","163959 Lootgiver Type 1 (OnWear, requested QL 1) | 163960 Lootgiver Type 1 (OnWear, requested QL 400) | 163961 Lootgiver Type 2 (OnWear, requested QL 1)","No capture and no unique client-data inference"
"AAIQ","item","1","1","301795 Sealed Santa Hat (OnUse, requested QL 1)","No capture and no unique client-data inference"
"AANC","item","1","1","302080 Sealed Profession Nanodeck (OnUse, requested QL 1)","No capture and no unique client-data inference"
"AAPC","item","1","1","303203 A Parcel for Palmiero (OnTerminate, requested QL 1)","No capture and no unique client-data inference"
"AAST","item","1","1","273043 TESTLIVEITEM: StarterPack (OnUse, requested QL 1)","No capture and no unique client-data inference"
"ACCT","item","1","1","224180 Joshua Khan's Heirloom (OnUse, requested QL 150)","No capture and no unique client-data inference"
"ACHO","item","2","2","292325 Movement Mission Collsphere (OnEnter, requested QL 1) | 295829 Checkpoint (OnEnter, requested QL 1)","No capture and no unique client-data inference"
"ACPL","item","1","1","287695 Use Item: Abduction AOE (OnUse, requested QL 1)","No capture and no unique client-data inference"
"ACPW","item","1","1","287981 Empty Power Core Slot (OnUseItemOn, requested QL 1)","No capture and no unique client-data inference"
"ACWE","item","1","1","260659 Dormant Wen-Wen (OnUse, requested QL 205)","No capture and no unique client-data inference"
"ADEX","item","1","1","275378 Anniversary Gift (OnUse, requested QL 1)","No capture and no unique client-data inference"
"ADIM","item","9","9","303740 Sealed Implant and Spirit Package (OnUse, requested QL 1) | 303741 Sealed Implant and Spirit Package (OnUse, requested QL 200) | 303742 Sealed Symbiant and Spirit Package (OnUse, requested QL 215)","No capture and no unique client-data inference"
"ADND","item","1","1","302080 Sealed Profession Nanodeck (OnUse, requested QL 1)","No capture and no unique client-data inference"
"ADRE","item","1","1","265489 Altitude Plate (OnUse, requested QL 1)","No capture and no unique client-data inference"
"ADRP","item","1","1","265661 Altitude Plate (OnUse, requested QL 1)","No capture and no unique client-data inference"
"ADRU","item","1","1","259803 Adenium rutilus (OnUseItemOn, requested QL 1)","No capture and no unique client-data inference"
"AECS","item","1","1","268793 Gift Wrapped Alien Costume (OnUse, requested QL 200)","No capture and no unique client-data inference"
"AECY","item","1","1","301624 Unattuned Augmented Cyberdeck (OnUse, requested QL 200)","No capture and no unique client-data inference"
"AEEG","item","1","1","294555 TESTLIVEITEM: Deluxe Box of Nanocrystals (OnUse, requested QL 10)","No capture and no unique client-data inference"
"AEOR","nano-only","1","1","303085 Sleeping Nightmare (OnTerminate, requested QL 1)","No capture and no unique client-data inference"
"AFOT","nano-only","1","1","275849 Creation: Asp of Titaniush (OnUse, requested QL 215)","No capture and no unique client-data inference"
"AGIM","item","9","9","303740 Sealed Implant and Spirit Package (OnUse, requested QL 1) | 303741 Sealed Implant and Spirit Package (OnUse, requested QL 200) | 303742 Sealed Symbiant and Spirit Package (OnUse, requested QL 215)","No capture and no unique client-data inference"
"AHLE","item","3","1","286429 Box of Stuff (OnUse, requested QL 300) | 286429 Box of Stuff (OnUse, requested QL 275) | 286429 Box of Stuff (OnUse, requested QL 250)","No capture and no unique client-data inference"
"AHRG","item","1","1","236138 Achromic Ring (OnUse, requested QL 1)","No capture and no unique client-data inference"
"AHRI","item","1","1","236138 Achromic Ring (OnUse, requested QL 1)","No capture and no unique client-data inference"
"AHRN","item","1","1","236138 Achromic Ring (OnUse, requested QL 1)","No capture and no unique client-data inference"
"AHSZ","item","2","2","239760 Box of Nanocrystals (OnUse, requested QL 300) | 239761 Box of Nanocrystals (OnUse, requested QL 1)","No capture and no unique client-data inference"
"AICE","item","1","1","268793 Gift Wrapped Alien Costume (OnUse, requested QL 200)","No capture and no unique client-data inference"
"AICS","item","1","1","268793 Gift Wrapped Alien Costume (OnUse, requested QL 200)","No capture and no unique client-data inference"
"AITM","item","1","1","283788 Bomb Kit (OnUse, requested QL 1)","No capture and no unique client-data inference"
"AITX","item","1","1","276666 Red Keycard Fragment - Right (OnUse, requested QL 1)","No capture and no unique client-data inference"
"AJSI","item","1","1","294555 TESTLIVEITEM: Deluxe Box of Nanocrystals (OnUse, requested QL 215)","No capture and no unique client-data inference"
"AJUJ","item","1","1","305240 Box of Things and Garbage (OnUse, requested QL 1)","No capture and no unique client-data inference"
"AKRV","nano-only","1","1","290445 Stop (OnUse, requested QL 1)","No capture and no unique client-data inference"
"ALAD","item","1","1","294555 TESTLIVEITEM: Deluxe Box of Nanocrystals (OnUse, requested QL 10)","No capture and no unique client-data inference"
"ALAG","item","1","1","294555 TESTLIVEITEM: Deluxe Box of Nanocrystals (OnUse, requested QL 10)","No capture and no unique client-data inference"
"ALBU","item","1","1","294555 TESTLIVEITEM: Deluxe Box of Nanocrystals (OnUse, requested QL 10)","No capture and no unique client-data inference"
"ALDO","item","1","1","294555 TESTLIVEITEM: Deluxe Box of Nanocrystals (OnUse, requested QL 10)","No capture and no unique client-data inference"
"ALEN","item","1","1","294555 TESTLIVEITEM: Deluxe Box of Nanocrystals (OnUse, requested QL 10)","No capture and no unique client-data inference"
"ALFI","item","1","1","294555 TESTLIVEITEM: Deluxe Box of Nanocrystals (OnUse, requested QL 10)","No capture and no unique client-data inference"
"ALMA","item","1","1","294555 TESTLIVEITEM: Deluxe Box of Nanocrystals (OnUse, requested QL 10)","No capture and no unique client-data inference"
"ALMT","item","1","1","294555 TESTLIVEITEM: Deluxe Box of Nanocrystals (OnUse, requested QL 10)","No capture and no unique client-data inference"
"ALNA","item","1","1","294555 TESTLIVEITEM: Deluxe Box of Nanocrystals (OnUse, requested QL 10)","No capture and no unique client-data inference"
"ALRP","item","1","1","265488 Altitude Plate (OnUse, requested QL 1)","No capture and no unique client-data inference"
"ALSO","item","1","1","294555 TESTLIVEITEM: Deluxe Box of Nanocrystals (OnUse, requested QL 10)","No capture and no unique client-data inference"
"ALTR","item","1","1","294555 TESTLIVEITEM: Deluxe Box of Nanocrystals (OnUse, requested QL 10)","No capture and no unique client-data inference"
"AMCB","item","17","16","233265 Augmented Cyberdeck (OnUse, requested QL 1) | 233266 Augmented Cyberdeck (OnUse, requested QL 1) | 233428 Augmented Cyberdeck (OnUse, requested QL 1)","No capture and no unique client-data inference"
"AMPL","item","1","1","286435 Box of Stuff (OnUse, requested QL 175)","No capture and no unique client-data inference"
"AMRN","item","1","1","236138 Achromic Ring (OnUse, requested QL 1)","No capture and no unique client-data inference"
"ANAA","item","1","1","295604 Merchant's Strongbox (OnUseItemOn, requested QL 1)","No capture and no unique client-data inference"
"ANCO","item","1","1","224179 Eva Pourais' Heirloom (OnUse, requested QL 150)","No capture and no unique client-data inference"
"ANDL","nano-only","1","1","290608 Alien Defense Reward (OnTerminate, requested QL 1)","No capture and no unique client-data inference"
"ANJR","item","1","1","269492 Shovel X-6000 (OnUse, requested QL 1)","No capture and no unique client-data inference"
"ANMN","item","1","1","259882 Mine Layer (OnUse, requested QL 1)","No capture and no unique client-data inference"
"ANNV","item","1","1","294124 Yuttos' Reinforced Container (OnUse, requested QL 1)","No capture and no unique client-data inference"
"ANPT","item","1","1","214784 Ancient Pattern Analyzer graced by the Faithful (OnUseItemOn, requested QL 1)","No capture and no unique client-data inference"
"AOBX","item","1","1","268696 Gift Wrapped Boxing Gloves (OnUse, requested QL 1)","No capture and no unique client-data inference"
"AOCM","item","1","1","268793 Gift Wrapped Alien Costume (OnUse, requested QL 200)","No capture and no unique client-data inference"
"AOGR","item","1","1","303440 Garden Access Pack (OnUse, requested QL 1)","No capture and no unique client-data inference"
